ADM2_EN,ADM2_MN,ADM2_PCODE,ADM1_EN,ADM1_MN,ADM1_PCODE,date,validOn,POINT_X,POINT_Y
Adaacag,Адаацаг,MN4804,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,105.7057197,46.33131041
Airag,Айраг,MN4404,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,109.3214415,45.56861613
Alag-Erdene,Алаг-Эрдэнэ,MN6704,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,100.0823765,50.17218397
Aldarxaan,Алдархаан,MN8104,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,97.16186237,47.84306984
Altai,Алтай,MN8204,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,95.90266943,44.1567322
Altai,Алтай,MN8304,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,89.63033064,48.18981927
Altai,Алтай,MN8404,Khovd,Ховд,MN84,12/1/2016,10/19/2020,92.5770092,45.65411791
Altanbulag,Алтанбулаг,MN4104,To'v,Төв,MN41,12/1/2016,10/19/2020,106.1361516,47.46160605
Altanbulag,Алтанбулаг,MN4304,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,106.7072105,50.14654717
Altanco'gc,Алтанцөгц,MN8307,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,90.50868965,48.96376538
Altanshiree,Алтанширээ,MN4407,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,110.4634715,45.47472124
Arbulag,Арбулаг,MN6707,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,99.39219584,49.90180129
Argalant,Аргалант,MN4107,To'v,Төв,MN41,12/1/2016,10/19/2020,106.0799014,47.88808315
Arvaixeer,Арвайхээр,MN6201,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,102.7968481,46.25406221
Arxust,Архуст,MN4110,To'v,Төв,MN41,12/1/2016,10/19/2020,107.9480188,47.47250197
Asgat,Асгат,MN2204,Sukhbaatar,Сүхбаатар,MN22,12/1/2016,10/19/2020,113.9119339,46.10533042
Asgat,Асгат,MN8107,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,96.71062002,49.51963823
Baacagaan,Баацагаан,MN6404,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,99.48444707,45.6303131
Baganuur,Багануур,MN1101,Ulaanbaatar,Улаанбаатар,MN11,12/1/2016,10/19/2020,108.344191,47.82294682
Bagaxangai,Багахангай,MN1104,Ulaanbaatar,Улаанбаатар,MN11,12/1/2016,10/19/2020,107.4456899,47.3741959
Baruun-Urt,Баруун-Урт,MN2201,Sukhbaatar,Сүхбаатар,MN22,12/1/2016,10/19/2020,113.2981804,46.65691298
Baruunbayan-Ulaan,Баруунбаян-Улаан,MN6204,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,101.5068426,45.2193964
Baruunbu'ren,Баруунбүрэн,MN4307,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,104.8345191,49.28910134
Baruunturuun,Баруунтуруун,MN8504,Uvs,Увс,MN85,12/1/2016,10/19/2020,94.86852722,49.84441166
Bat-O'lzii,Бат-Өлзий,MN6207,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,101.9334055,46.79078994
Batcengel,Батцэнгэл,MN6504,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,101.8764924,47.87454433
Batnorov,Батноров,MN2304,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,111.4408932,47.96088471
Batshireet,Батширээт,MN2307,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,109.8130652,48.84159006
Batsu'mber,Батсүмбэр,MN4113,To'v,Төв,MN41,12/1/2016,10/19/2020,106.857577,48.4110066
Bayan,Баян,MN4116,To'v,Төв,MN41,12/1/2016,10/19/2020,107.7056695,47.13636087
Bayan-Adraga,Баян-Адарга,MN2310,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,111.2035112,48.48799459
