Economy,Flow,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,Imports,564741.5,681974.3,819890.8,990087.6,883613.9,1239986,1579105,1661947,1789608,1808720,1566562,1500636,1740272,2022272,1973747
Kazakhstan,Imports,17928.89957,24068.60925,33121.74856,38349.65173,28915.93249,32889.95689,40349.59917,45098.38009,49165.19701,42453.35166,33199.19254,26212.55245,30543.97173,34238.363,38427.53296
Kyrgyzstan,Imports,1105.54,1792.45,2613.62,3753.53,2813.61,2934.925,3896.649,5096.603,5530.629,5203.541,3791.4,3708.884,4159.459,4898.299,4594.99301
Mongolia,Imports,1165.60171,1407.697251,2003.102504,3138.038154,2059.062461,3079.892253,6725.153315,6830.256839,6397.47195,5293.135245,3883.798136,3466.192984,4344.576392,5871.288933,6024.732737
Tajikistan,Imports,1134.008482,1570.072043,2560.144301,3431.198664,2542.645738,2932.161065,3605.477157,4405.666272,4559.820512,3598.706118,2862.361739,2552.831866,2389.722921,2763.576664,2921.028633
Turkmenistan,Imports,2947,2557.7,2426.54,4232.67,5570.32,4523.25,6373.97,8221.01,8042.44,8362.84,6076.55,5272.1,3979.1,2350.87,2071.5
Uzbekistan,Imports,3665.8048,4379.9456,6339.78673,9277.024,9023.0148,8689.4826,9952.8753,15594.28357,12998.4696,13514.094,11575.964,11037.273,12377.32,18252.445,21206.633
Asia,Imports,2907849.082,3380056.978,3923520.665,4808921.666,3898445.404,5061600.259,6304811.736,6685581.707,6834528.997,6844526.681,5945157.58,5684037.381,6445863.792,7179349.25,6930332.89
CentralAsia,Imports,26781.25285,34368.77689,47061.83959,59044.07439,48865.52303,51969.77555,64178.57062,78415.94294,80296.55612,73132.53278,57505.46828,48783.64132,53449.57365,62503.55366,69221.6876
EasternAsia,Imports,1717107.326,1996931.092,2264681.288,2689218.284,2177871.201,2931876.187,3682823.229,3897124.599,3999923.715,4027665.531,3432332.534,3255979.295,3697280.128,4164321.731,4011581.69
SoutheasternAsia,Imports,550634.4659,623983.3023,706782.694,860277.5916,675400.6803,882773.0527,1070107.1,1135949.503,1151811.161,1143319.264,1020198.261,1002854.541,1150902.249,1304662.78,1284868.748
SouthernAsia,Imports,225925.1017,273181.3014,328861.6553,474944.6115,410363.3657,517189.8891,657490.5962,676232.8391,655279.1577,660014.435,580007.6214,558729.485,669121.6353,760944.8267,681333.8801
WesternAsia,Imports,387400.9353,451592.5054,576133.1879,725437.105,585944.6344,677791.354,830212.2398,897858.8228,947218.4075,940394.918,855113.6955,817690.419,875110.2057,886916.3588,883326.8841
